,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
5263,2004-01,1074551302.0,k,4.42,37.89,-11.28541325216577,1138.77,1.4765638923542983,-12.761977144520067
5264,2005-03,1110335746.0,k,2.162,43.87,2.7159915710606333,1207.01,7.5574763856709986,-4.841484814610365
5265,2004-04,1082735060.0,k,3.251,42.84,0.30437836572231924,1140.6,1.6396364284441154,-1.3352580627217963
5266,2013-03,1363535706.0,k,318.63,62.2,45.63334113790682,1563.23,39.30048119764747,6.332859940259347
5267,2013-05,1368853194.0,k,265.87,65.66,53.73448841020837,1658.78,47.815006237747276,5.919482172461095
5268,2009-09,1253578718.0,k,0.0,48.86,14.399438070709433,1071.66,-4.503653537693812,18.903091608403244
5269,2011-11,1321508876.0,k,264.2,49.17,15.125263404354955,1216.13,8.370165745856358,6.755097658498597
5270,2012-09,1347671930.0,key,0.0,9.04,0.0,1436.5601,0.0,0.0
5271,2011-10,1318473481.0,key,0.0,6.76,-25.22123893805309,1203.66,-16.212346423933106,-9.008892514119985
5272,2008-12,1229687945.0,key,0.0,8.13,-10.066371681415912,887.88,-38.19402334785715,28.127651666441235
5273,2011-10,1318832451.0,key,0.0,6.51,-27.98672566371681,1200.86,-16.40725647329339,-11.57946919042342
5274,2011-11,1320922632.0,key,0.0,7.29,-19.35840707964601,1239.7,-13.703575645738725,-5.654831433907285
5275,2008-01,1201123922.0,key,0.0,25.48,181.85840707964604,1352.0699,-5.881424661592645,187.73983174123867
5276,2013-04,1366876609.0,key,0.0,9.73,7.632743362831873,1585.16,10.344147801404214,-2.711404438572341
5277,2008-12,1228753437.0,key,0.0,8.83,-2.323008849557512,909.7,-36.6751171774853,34.35210832792779
5278,2007-03,1173237275.0,key,0.0,37.45,314.2699115044249,1391.97,-3.1039494971355457,317.37386100156044
5279,2008-06,1213476443.0,key,0.0,11.73,29.75663716814161,1339.87,-6.730668629874938,36.48730579801655
5280,2005-03,1111249024.0,key,0.0,32.4,258.4070796460177,1188.0699,-17.297584695551546,275.70466434156924
5281,2005-02,1107604633.0,key,0.0,33.92,275.22123893805315,1193.1899,-16.941177748149894,292.162416686203
5282,2006-05,1148491878.0,key,0.0,36.01,298.3407079646018,1258.5699,-12.390028095587507,310.7307360601893
5283,2012-08,1345568587.0,kim,79.09,20.38,0.0,1413.17,0.0,0.0
5284,2006-05,1148882455.0,kim,1.004,36.37,78.459273797841,1280.16,-9.412172633158077,87.87144643099909
5285,2013-05,1368306971.0,kim,88.28,24.97,22.52208047105005,1626.67,15.107878033074575,7.414202437975474
5286,2005-05,1115080297.0,kim,0.938,55.68,173.20902845927378,1161.17,-17.832249481661794,191.04127794093557
5287,2005-03,1111099296.0,kim,0.947,55.1,170.3631010794897,1189.65,-15.816922238654938,186.18002331814463
5288,2005-05,1117167273.0,kim,0.938,56.89,179.1462217860648,1198.78,-15.170857009418548,194.31707879548335
5289,2007-04,1176175692.0,kim,1.065,48.77,139.30323846908738,1448.39,2.4922691537465433,136.81096931534083
5290,2005-02,1109047664.0,kim,0.947,56.59,177.6741903827282,1184.16,-16.205410530933996,193.8796009136622
5291,2007-04,1175845314.0,klac,0.0,55.85,0.0,1437.77,0.0,0.0
5292,2008-12,1228483494.0,klac,0.27,17.72,-68.272157564906,876.07,-39.06744472342586,-29.204712841480138
5293,2013-06,1371653305.0,klac,21.68,56.63,1.3965980304386771,1628.9301,13.295596653150369,-11.898998622711693
5294,2012-02,1329226410.0,klac,25.15,49.39,-11.566696508504926,1350.5,-6.069816451866431,-5.496880056638495
5295,2005-01,1106007631.0,klac,0.0,44.91,-19.58818263205014,1195.98,-16.81701523887687,-2.771167393173272
5296,2004-09,1094733309.0,klac,0.0,37.59,-32.69471799462846,1118.38,-22.214262364634113,-10.48045562999435
5297,2012-03,1332630431.0,klac,25.15,52.88,-5.317815577439569,1392.78,-3.1291513941729217,-2.188664183266647
5298,2010-02,1265262471.0,klac,0.0,29.29,-47.555953446732325,1063.11,-26.058409898662514,-21.49754354806981
5299,2003-12,1070800681.0,klac,0.0,55.62,-0.41181736794987284,1069.72,-25.59867016282159,25.18685279487172
5300,2007-02,1172109434.0,klac,0.0,51.19,-8.343777976723372,1456.38,1.2943655800301945,-9.638143556753565
5301,2005-03,1110115670.0,klac,0.0,47.9,-14.234556848701885,1210.47,-15.809204532018331,1.5746476833164458
5302,2012-01,1325659961.0,kmb,133.44,73.22,0.0,1277.3,0.0,0.0
5303,2011-12,1325250253.0,kmb,133.44,73.68,0.6282436492761649,1257.6,-1.5423158224379587,2.1705594717141237
5304,2006-08,1155909212.0,kmb,0.624,61.6,-15.869980879541107,1302.3,1.9572535817740548,-17.82723446131516
5305,2013-02,1360519023.0,kmb,127.37,90.9,24.146408085222625,1509.39,18.170359351757625,5.976048733464999
5306,2008-05,1211935181.0,kmb,1.028,63.46,-13.329691341163613,1390.84,8.889062866985045,-22.21875420814866
5307,2004-09,1094512652.0,kmb,0.484,68.13,-6.951652553947013,1121.3,-12.213262350270101,5.261609796323088
5308,2008-12,1230303626.0,kmb,1.249,52.0501,-28.91272876263316,872.8,-31.668362953104207,2.7556341904710457
5309,2007-04,1175844941.0,kmb,0.591,69.66,-4.862059546571977,1437.77,12.563219290691304,-17.42527883726328
5310,2013-05,1368261021.0,kmb,140.98,103.43,41.25921879267961,1632.6899,27.823526188052934,13.435692604626677
5311,2011-10,1318816016.0,kmb,127.78,71.91,-1.7891286533733983,1200.86,-5.984498551632354,4.1953698982589565
5312,2012-05,1337415568.0,kmb,123.18,78.83,7.661841027041791,1324.8,3.718781805370704,3.943059221671087
5313,2013-04,1366584850.0,kmb,140.98,106.1,44.90576345260857,1562.5,22.328348860878418,22.57741459173015
5314,2006-02,1139255375.0,kmb,0.0,57.35,-21.674405900027313,1265.02,-0.9614029593674136,-20.713002940659898
5315,2013-04,1366910971.0,kmi,141.53,39.11,0.0,1585.16,0.0,0.0
5316,2013-08,1376671326.0,kmi,124.72,37.44,-4.270007670672467,1655.83,4.458225037220208,-8.728232707892674
5317,2012-06,1339839323.0,kmi,214.69,31.9,-18.435182817693686,1314.88,-17.05064472986954,-1.3845380878241471
5318,2005-03,1111459643.0,kmi,1.094,76.91,96.65047302480183,1171.71,-26.082540563728585,122.73301358853041
5319,2007-04,1176012827.0,kmi,3.763,106.79,173.05037074916902,1443.76,-8.920235181306623,181.97060593047564
5320,2003-12,1071506117.0,kmi,1.32,55.0,40.628995141907446,1068.04,-32.62257437734993,73.25156951925737
5321,2004-03,1080723698.0,kmi,1.254,62.65,60.18920992073639,1126.21,-28.952913270584673,89.14212319132106
5322,2005-01,1106940574.0,kmi,1.094,73.75,88.57069803119407,1171.36,-26.104620353781332,114.6753183849754
5323,2006-06,1151117331.0,kmi,3.329,99.54,154.5129122986449,1252.2,-21.004819702742942,175.51773200138783
5324,2004-09,1095386743.0,kmi,1.175,61.22,56.532856047046785,1128.55,-28.805294102803508,85.33815014985029
5325,2012-10,1350687202.0,kmi,160.23,34.97,-10.585527997954488,1460.91,-7.8383254687224,-2.747202529232088
5326,2013-04,1366587464.0,kmi,141.53,38.87,-0.6136537969828739,1562.5,-1.4295086931287746,0.8158548961459007
5327,2011-08,1313551685.0,kmi,175.72,26.5,-32.24239324980823,1193.89,-24.683312725529284,-7.559080524278947
