,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
42,2012-07,1343566317.0,aa,56.42,8.45,-75.33566841798014,1360.02,20.415437775839145,-95.75110619381928
43,2012-11,1354001894.0,aa,56.51,8.31,-75.74430823117338,1398.9399,23.86138474477482,-99.6056929759482
44,2013-01,1358862757.0,aa,53.49,9.16,-73.26328079392877,1492.5601,32.150466793319396,-105.41374758724817
45,2013-04,1366732977.0,aa,53.21,8.12,-76.29889083479277,1578.78,39.78433026848085,-116.08322110327362
46,2013-04,1366995315.0,aa,53.21,8.27,-75.8610624635143,1582.24,40.090676803608574,-115.95173926712287
47,2013-09,1377995111.0,aa,52.71,7.7,-77.52481027437244,1638.17,45.04268885843328,-122.56749913280572
48,2003-12,1070778970.0,aapl,0.072,20.85,0.0,1069.72,0.0,0.0
49,2004-02,1075779214.0,aapl,0.07,22.32,7.05035971223021,1136.03,6.198818382380431,0.8515413298497796
50,2004-06,1086211238.0,aapl,0.0,28.92,38.705035971223026,1116.64,4.386194518191683,34.31884145303134
51,2004-08,1092088964.0,aapl,0.0,30.3,45.32374100719424,1079.04,0.8712560296152204,44.452484977579026
52,2004-10,1097545257.0,aapl,0.0,38.59,85.08393285371703,1121.84,4.87230303256926,80.21162982114777
53,2004-12,1102155411.0,aapl,0.0,62.68,200.62350119904076,1191.37,11.372134764237357,189.2513664348034
54,2005-01,1106738207.0,aapl,0.0,71.94,245.03597122302153,1174.0699,9.754879781625093,235.28109144139643
55,2005-02,1107472028.0,aapl,0.0,77.81,273.18944844124695,1203.03,12.462139625322509,260.72730881592446
56,2005-03,1109658963.0,aapl,0.0,44.86,115.15587529976017,1210.41,13.152039786112258,102.00383551364791
57,2005-12,1134806153.0,aapl,0.0,71.11,241.05515587529976,1272.74,18.97879819018061,222.07635768511915
58,2006-01,1138167832.0,aapl,0.0,76.04,264.70023980815347,1264.6801,18.225339341136,246.47490046701748
59,2006-02,1138960199.0,aapl,0.0,72.1,245.80335731414863,1264.03,18.164566428598132,227.6387908855505
60,2006-02,1139289450.0,aapl,0.0,67.3,222.78177458033568,1254.78,17.29985416744568,205.48192041289
61,2006-02,1140174061.0,aapl,0.0,70.21,236.73860911270975,1287.24,20.334293086041207,216.40431602666854
62,2013-08,1376173832.0,aapl,13.75,454.45,2079.6163069544364,1697.48,58.68451557416894,2020.9317913802674
63,2013-06,1371621458.0,abbv,512.61,43.54,0.0,1628.9301,0.0,0.0
64,2003-10,1067169992.0,abc,0.592,57.01,0.0,1033.77,0.0,0.0
65,2004-01,1075261054.0,abc,0.429,56.36,-1.14015085072794,1128.48,9.16161235090978,-10.30176320163772
66,2004-05,1084721055.0,abc,0.412,58.97,3.4379933345027203,1096.4399,6.062267235458574,-2.6242739009558536
67,2004-10,1098221486.0,abc,0.331,52.1,-8.612524118575683,1103.66,6.760691449742215,-15.373215568317898
68,2005-01,1105155942.0,abc,0.332,57.9,1.5611296263813377,1183.74,14.507095388722831,-12.945965762341494
69,2005-03,1112197962.0,abc,0.291,55.44,-2.753902824065954,1181.41,14.281706762626126,-17.03560958669208
70,2005-05,1117057844.0,abc,0.23,65.93,15.646377828451167,1197.62,15.84975381371097,-0.20337598525980383
71,2005-12,1133671573.0,abc,0.223,79.46,39.379056305911234,1264.67,22.3357226462366,17.043333659674634
72,2007-02,1171937522.0,abc,0.308,54.9,-3.701105069286089,1459.6801,41.19969625738801,-44.9008013266741
73,2007-04,1175775067.0,abc,0.308,53.94,-5.385020171899668,1443.76,39.65969219458874,-45.04471236648841
74,2008-01,1201106045.0,abc,0.396,45.55,-20.101736537449572,1338.6,29.48721669230099,-49.58895322975056
75,2011-07,1310069055.0,abc,42.86,43.05,-24.486932117172426,1343.8,29.990229935091943,-54.47716205226437
76,2012-02,1330437698.0,abc,66.41,37.75,-33.783546746184875,1372.1801,32.73553111427107,-66.51907786045595
77,2013-04,1366837320.0,abc,59.73,55.82,-2.0873530959480755,1585.16,53.33778306586573,-55.4251361618138
78,2004-09,1095672662.0,abt,0.543,42.92,0.0,1122.2,0.0,0.0
79,2004-10,1098557288.0,abt,0.543,40.86,-4.7996272134203215,1103.66,-1.652111923008373,-3.1475152904119486
80,2005-01,1106642651.0,abt,0.508,45.93,7.013047530288905,1168.41,4.117804312956695,2.89524321733221
81,2005-02,1109604114.0,abt,0.508,45.61,6.267474370922642,1203.6,7.253608982356073,-0.9861346114334308
82,2006-06,1150552861.0,abt,0.436,42.78,-0.3261882572227413,1230.04,9.609695241489922,-9.935883498712663
83,2006-07,1153211534.0,abt,0.436,44.48,3.63466915191052,1236.86,10.21743004811975,-6.58276089620923
84,2007-01,1168708782.0,abt,0.604,50.45,17.544268406337373,1414.85,26.07823917305292,-8.533970766715548
85,2007-03,1174603660.0,abt,0.883,54.5,26.980428704566627,1436.11,27.97273213330956,-0.9923034287429324
86,2007-04,1176221589.0,abt,0.883,57.11,33.06150978564771,1448.39,29.067011227945112,3.9944985577025953
87,2007-06,1180823795.0,abt,0.871,56.3,31.174277726001854,1530.62,36.39458207093208,-5.220304344930227
88,2008-01,1201117305.0,abt,0.784,57.97,35.06523765144454,1338.6,19.28355016931027,15.78168748213427
89,2008-04,1209340015.0,abt,0.687,51.28,19.478098788443614,1396.37,24.431473890572075,-4.9533751021284615
90,2008-10,1224784662.0,abt,0.732,55.02,28.191985088536814,908.11,-19.077704509000178,47.269689597536996
91,2008-12,1230168656.0,abt,0.546,52.65,22.67008387698042,871.63,-22.32846194974158,44.998545826722
92,2011-08,1312503093.0,abt,76.17,48.77,13.630009319664497,1199.38,6.87756193191945,6.752447387745047
93,2011-09,1314941067.0,abt,68.83,51.94,21.015843429636526,1173.97,4.613259668508285,16.40258376112824
94,2011-11,1320200481.0,abt,68.83,52.76,22.92637465051257,1237.9,10.310105150597044,12.616269499915527
95,2012-01,1325445220.0,abt,67.73,56.23,31.011183597390477,1263.02,12.548565318125105,18.46261827926537
96,2012-03,1330707390.0,abt,62.85,57.39,33.71388630009319,1369.63,22.048654428800578,11.665231871292615
97,2012-03,1333071855.0,abt,62.85,60.98,42.07828518173344,1408.47,25.509713063625018,16.568572118108424
98,2013-05,1368022202.0,abt,76.36,36.06,-15.983224603914255,1632.6899,45.49009980395651,-61.47332440787076
99,2013-08,1376795565.0,abt,35.38,34.97,-18.522833178005598,1661.3199,48.041338442345385,-66.56417162035098
100,2004-08,1092682407.0,ace,0.26,39.1,0.0,1079.34,0.0,0.0
